1686|1|2020-11-10 12:50:00|a|L200  4X4 ESTACAS|TRUE|MITSUBISHI|Mini|0|2000|Gasolina|||Pasajeros|Mecanica||
1687|1|2020-11-10 12:50:00|a|CLIO DINAMIC 1,6|TRUE|RENAULT|Mini|5|1600|Gasolina|||Pasajeros|Mecanica|CLIO|
1688|1|2020-11-10 12:50:00|a|CLIO II AUTH, 1,6|TRUE|RENAULT|Mini|5|1600|Gasolina|||Pasajeros|Mecanica|CLIO|
1689|1|2020-11-10 12:50:00|a|HAMMER H3|TRUE|CHEVROLET|Mini|0|3500|Gasolina|||Pasajeros|Mecanica|HAMMER|
CNNR4460AC1|1|2020-11-10 12:50:00|a|NNR PARTNER 4,6|TRUE|CHEVROLET|Carga|3100|4600|Diesel|||Toneladas|Mecanica|NNR|
CKTR416CHC8|1|2020-11-10 12:50:00|a|AVEO EMOTION GT 1,6 5P|TRUE|CHEVROLET|Small|5|1600|Gasolina|||Pasajeros|Mecanica|AVEO|
1692|1|2020-11-10 12:50:00|a|LUV TFR  2300|TRUE|CHEVROLET|Pick Up|3|2300|Diesel|||Pasajeros|Mecanica|LUV TFR|
1693|1|2020-11-10 12:50:00|a|HYUNDAI i10|TRUE|HYUNDAI|Mini|0|1000|Gasolina|||Pasajeros|Mecanica|I 10|
1695|1|2020-11-10 12:50:00|a|LUV 2,5 ESTACAS TFS|TRUE|CHEVROLET|Lower Medium|0|2500|Diesel|||Pasajeros|Mecanica|LUV TFS|
1696|1|2020-11-10 12:50:00|a|OPTRA 1,8 4P ADVANCE|TRUE|CHEVROLET|Lower Medium|0|1800|Gasolina|||Pasajeros|Mecanica|OPTRA|
1697|1|2020-11-10 12:50:00|a|SANDERO E1|TRUE|RENAULT|Mini|0|1600|Gasolina|||Pasajeros|Mecanica|SANDERO|
1698|1|2020-11-10 12:50:00|a|MIT,MONTERO  HT 2,4|TRUE|MITSUBISHI|Mini|0|2400|Gasolina|||Pasajeros|Mecanica|MONTERO|
1699|1|2020-11-10 12:50:00|a|KANGOO 1600 |TRUE|RENAULT|Mini|0|1600|Gasolina|||Pasajeros|Mecanica||
1700|1|2020-11-10 12:50:00|a|SUPER BRIGADIER 9,0|TRUE|CHEVROLET|Carga|0|9000|Diesel|||Toneladas|Mecanica|SUPER BRIGADIER|
