PC7Z723L1F|1|2020-11-10 12:50:00|a|KODIAK TANDEM|TRUE|CHEVROLET|Carga|18,9|7500|Diesel|||Toneladas|Mecanica|KODIAK|
2|1|2020-11-10 12:50:00|a|ALLEGRO SEDAN 1,3|TRUE|MAZDA|Mini|5|1300|Gasolina|||Pasajeros|Mecanica|ALLEGRO|
3|1|2020-11-10 12:50:00|a|RANGER XL ESTACAS|TRUE|FORD|Mini|0|2200|Gasolina|||Pasajeros|Mecanica|RANGER|
4|1|2020-11-10 12:50:00|a|ALLEGRO SEDAN 1,6|TRUE|MAZDA|Mini|0|1600|Gasolina|||Pasajeros|Mecanica|ALLEGRO|
11CKTR416CHC9|1|2020-11-10 12:50:00|a|AVEO 1,6 5P C-A|TRUE|CHEVROLET|Small|5|1600|Gasolina|||Pasajeros|Mecanica|AVEO|
6|1|2020-11-10 12:50:00|a|MONTERO V6 3,0|TRUE|MITSUBISHI|Mini|0|3000|Gasolina|||Pasajeros|Mecanica|MONTERO|
SJ41F|1|2020-11-10 12:50:00|a|SAMURAI HARD TOP|TRUE|CHEVROLET|Utilitarios|0|1300|Gasolina|||Pasajeros|Mecanica|SAMURAI|
VC7Z672OBC1|1|2020-11-10 12:50:00|a|KODIAK 8500|TRUE|CHEVROLET|Carga|0|8500|Diesel|||Toneladas|Mecanica|KODIAK|
9|1|2020-11-10 12:50:00|a|ALLEGRO HB 1,3|TRUE|MAZDA|Mini|0|1300|Gasolina|||Pasajeros|Mecanica|ALLEGRO|
10|1|2020-11-10 12:50:00|a|ALLEGRO HB 1,6|TRUE|MAZDA|Mini|0|1600|Gasolina|||Pasajeros|Mecanica|ALLEGRO|
SB013|1|2020-11-10 12:50:00|a|CORSA WIND 5P S-A|TRUE|CHEVROLET|Small|4|1400|Gasolina|||Pasajeros|Mecanica|CORSA|
12|1|2020-11-10 12:50:00|a|ATOS SANTRO 1,1|TRUE|HYUNDAI|Mini|4|1100|Gasolina|||Pasajeros|Mecanica||
13|1|2020-11-10 12:50:00|a|LOGAN 1,6|TRUE|RENAULT|Small|5|1600|Gasolina|||Pasajeros|Mecanica|LOGAN|
14|1|2020-11-10 12:50:00|a|GETS SEDAN|TRUE|HYUNDAI|Mini|0|1300|Gasolina|||Pasajeros|Mecanica||
15|1|2020-11-10 12:50:00|a|ECO SPORT 4X4 MEC|TRUE|FORD|Mini|5|2000|Gasolina|||Pasajeros|Mecanica||
16|1|2020-11-10 12:50:00|a|C3 PACK 1,6|TRUE|CITROEN|Lower Medium|0|1600|Gasolina|||Pasajeros|Mecanica||
XY02|1|2020-11-10 12:50:00|a|CORSA EVOLUTION 5P C-A|TRUE|CHEVROLET|Small|0|1400|Gasolina|||Pasajeros|Mecanica|CORSA|
CC7Z672OAC1|1|2020-11-10 12:50:00|a|KODIAK 190|TRUE|CHEVROLET|Carga|19|7200|Diesel|||Toneladas|Mecanica|KODIAK|
19|1|2020-11-10 12:50:00|a|CERATO LX|TRUE|KIA|Small|5|1600|Gasolina|||Pasajeros|Mecanica|CERATO|
20|1|2020-11-10 12:50:00|a|LASER 1,600|TRUE|FORD|Mini|0|1600|Gasolina|||Pasajeros|Mecanica||
21|1|2020-11-10 12:50:00|a|626 MILENIO MEC|TRUE|MAZDA|Mini|5|2000|Gasolina|||Pasajeros|Mecanica||
22|1|2020-11-10 12:50:00|a|DEM3M4|TRUE|MAZDA|Mini|0|1300|Gasolina|||Pasajeros|Mecanica||
CKMR410HSCT|1|2020-11-10 12:50:00|a|TAXI 7:24 S-A|TRUE|CHEVROLET|Taxi|5|1000|Gasolina|||Pasajeros|Mecanica|TAXI|
24|1|2020-11-10 12:50:00|a|MONTERO V11 I|TRUE|MITSUBISHI|Lower Medium|0|0|Gasolina|||Pasajeros|Mecanica|MONTERO|
25|1|2020-11-10 12:50:00|a|GET TB GL HB|TRUE|HYUNDAI|Mini|5|1600|Gasolina|||Pasajeros|Mecanica||
